,age,合計,大型,中型,普通,大特,けん引,小計,大型.1,中型.1,準中型,普通.1,大特.1,大自二,普自二,小特,原付,けん引.1,小計.1,cumsum,percent
0,１６,19859,0,0,0,0,0,0,0,0,0,0,0,0,3752,32,16075,0,19859,82314823,1.0
1,１７,46112,0,0,0,0,0,0,0,0,0,0,0,0,12118,90,33904,0,46112,82294964,0.9997587433310766
2,１８,202471,0,0,0,0,0,0,0,0,4914,154476,122,175,9587,82,33115,0,202471,82248852,0.9991985526106276
3,１９,615132,0,0,0,0,0,0,215,0,33691,550300,216,213,6252,88,24157,0,615132,82046381,0.9967388376696139
4,２０,803888,0,0,0,0,0,0,973,1439,324276,451555,177,281,5308,80,19799,0,803888,81431249,0.9892659187276635
5,２１,898631,78,1,59,0,1,139,2713,5918,637351,232206,123,302,4072,80,15727,0,898492,80627361,0.9794999012510784
6,２２,974995,334,4,305,2,1,646,6773,9578,794289,146704,69,252,3349,86,13249,0,974349,79728730,0.9685829003118915
7,２３,1000691,568,65,646,2,0,1281,9979,13485,867036,94137,38,206,2634,74,11821,0,999410,78753735,0.9567381928282832
8,２４,1063186,735,290,738,3,1,1767,12704,16890,960093,57117,34,235,2570,73,11703,0,1061419,77753044,0.9445813179966384
9,２５,1035732,877,528,541,7,1,1954,14173,19344,951264,35441,25,184,2298,61,10988,0,1033778,76689858,0.9316652238929068
10,２６,1064599,1132,719,470,8,1,2330,17307,23050,980025,28517,17,190,2171,77,10915,0,1062269,75654126,0.9190826541654593
11,２７,1086975,1368,868,529,7,0,2772,19339,25805,1001448,24160,19,154,2221,68,10989,0,1084203,74589527,0.9061493942591603
12,２８,1097102,1614,891,494,11,0,3010,21516,26888,1011668,20951,18,160,2182,60,10649,0,1094092,73502552,0.8929442999591944
13,２９,1126686,1893,1033,430,10,1,3367,23937,112488,954954,19292,10,167,2042,50,10379,0,1123319,72405450,0.8796161779999211
14,３０,1192071,2106,1292,469,10,2,3879,25956,514108,617281,17795,12,154,2065,49,10772,0,1188192,71278764,0.86592865540147
15,３１,1228285,2295,1503,459,16,3,4276,27245,773014,394624,16188,12,197,2097,44,10588,0,1224009,70086693,0.8514468044230624
16,３２,1262449,2662,1697,489,17,1,4866,31273,933155,265937,14453,18,192,1951,55,10549,0,1257583,68858408,0.8365250083815402
17,３３,1312925,3188,1995,498,23,2,5706,36943,1050450,193762,13266,19,161,1950,49,10619,0,1307219,67595959,0.8211881716613787
18,３４,1377103,3845,2383,518,24,1,6771,43000,1157044,144756,12408,19,178,1957,43,10927,0,1370332,66283034,0.8052381282530365
19,３５,1399149,4270,2649,520,18,4,7461,46824,1202792,117306,11762,8,171,1833,45,10947,0,1391688,64905931,0.7885084196803777
20,３６,1409318,4824,3134,546,31,3,8538,49949,1226148,100717,11075,5,180,1753,46,10907,0,1400780,63506782,0.7715108857125283
21,３７,1422514,5472,3441,530,28,12,9483,53317,1249427,87333,9850,13,214,1772,50,11055,0,1413031,62097464,0.7543898138492019
22,３８,1466645,5986,3822,521,32,12,10373,58704,1297706,77749,8937,13,201,1680,48,11234,0,1456272,60674950,0.7371084306407365
23,３９,1526499,7039,4241,569,34,9,11892,64233,1356845,71705,8334,17,209,1649,52,11563,0,1514607,59208305,0.7192909228511614
24,４０,1585853,8005,4838,585,29,12,13469,70859,1415250,65100,7656,14,219,1722,43,11521,0,1572384,57681806,0.7007462799257917
25,４１,1626327,9197,5401,658,38,8,15302,76762,1455902,58387,6910,14,214,1696,39,11101,0,1611025,56095953,0.6814805761047437
26,４２,1694240,10596,6256,677,38,12,17579,84111,1519364,53505,6257,12,231,1861,46,11274,0,1676661,54469626,0.6617231746947935
27,４３,1751341,11933,7186,750,42,9,19920,91914,1571604,48586,5635,11,237,1958,44,11432,0,1731421,52775386,0.6411407335468607
28,４４,1866255,13834,8073,791,48,16,22762,102164,1676025,45806,5463,22,263,2004,45,11701,0,1843493,51024045,0.6198646020292117
29,４５,1916625,15144,9319,800,48,16,25327,106702,1723332,41598,5119,22,244,2154,40,12087,0,1891298,49157790,0.597192440054205
30,４６,1883057,15758,9808,855,54,15,26490,106928,1694053,37235,4703,17,251,2157,26,11197,0,1856567,47241165,0.5739083591299224
31,４７,1843798,16723,10626,871,50,21,28291,107783,1656156,33792,4200,16,255,2139,49,11117,0,1815507,45358108,0.5510320783900611
32,４８,1775949,17483,11280,865,53,19,29700,106150,1593869,29672,3724,26,231,2033,32,10512,0,1746249,43514310,0.5286327348356201
33,４９,1728560,17770,11881,900,50,14,30615,106865,1549161,26105,3387,18,221,1906,33,10249,0,1697945,41738361,0.5070576535164268
34,５０,1706031,18637,12314,917,42,19,31929,105575,1529574,23536,3198,24,194,1854,30,10117,0,1674102,40009801,0.48605827652693856
35,５１,1754503,20684,13782,910,48,16,35440,110150,1571874,21409,2944,29,218,1937,25,10477,0,1719063,38303770,0.4653325926485926
36,５２,1229129,15508,10573,777,39,16,26913,78422,1096255,15469,2235,19,167,1429,23,8197,0,1202216,36549267,0.4440180476364506
37,５３,1629132,22459,14442,965,33,10,37909,102719,1456019,17100,2409,16,164,1733,29,11034,0,1591223,35320138,0.4290859982776128
38,５４,1523432,21884,14442,988,41,19,37374,96404,1359876,15050,2264,18,165,1508,30,10743,0,1486058,33691006,0.40929452038061237
39,５５,1460490,21173,14290,929,47,15,36454,91235,1304873,13672,2101,24,155,1350,41,10585,0,1424036,32167574,0.3907871368441137
40,５６,1407911,21012,14220,812,40,9,36093,88448,1257102,12340,1951,23,137,1260,33,10524,0,1371818,30707084,0.37304440295036534
41,５７,1363160,20503,14746,790,26,11,36076,87346,1215427,10809,1773,17,137,1270,42,10263,0,1327084,29299173,0.355940423998725
42,５８,1360150,20498,15739,747,25,11,37020,88292,1210917,10493,1695,17,105,1086,38,10487,0,1323130,27936013,0.33938010168593813
43,５９,1357442,20253,16924,675,28,5,37885,88331,1207546,9865,1660,22,154,930,44,11005,0,1319557,26575863,0.322856346298649
44,６０,1358005,20019,17988,719,35,10,38771,88231,1207545,9222,1584,11,284,831,48,11478,0,1319234,25218421,0.30636548899582766
45,６１,1259875,19294,18004,603,19,8,37928,81679,1117750,8459,1419,19,291,712,50,11568,0,1221947,23860416,0.2898677920986357
46,６２,1311365,20153,20046,484,31,14,40728,83902,1162529,8068,1452,19,339,779,72,13477,0,1270637,22600541,0.2745622255665908
47,６３,1332311,20193,22205,380,16,15,42809,86113,1177842,7779,1384,22,465,696,84,15117,0,1289502,21289176,0.2586311337874103
48,６４,1322101,20517,23847,310,28,10,44712,87662,1162389,7350,1260,30,660,594,108,17336,0,1277389,19956865,0.24244557994129443
49,６５,1350438,21036,26417,256,25,11,47745,90259,1182239,7094,1336,33,803,633,109,20187,0,1302693,18634764,0.22638406207834524
50,６６,1403627,22672,29525,177,23,4,52401,93849,1223595,7054,1392,30,888,668,139,23611,0,1351226,17284326,0.2099782927310674
51,６７,1432802,23788,32947,153,34,10,56932,97646,1241148,6606,1490,34,900,665,216,27165,0,1375870,15880699,0.19292635786874013
52,６８,1500511,26168,37329,109,40,11,63657,103543,1292280,6509,1574,40,925,645,240,31098,0,1436854,14447897,0.17551999109564992
53,６９,1650536,29341,43560,89,36,19,73045,119523,1410047,6674,1798,54,1038,868,341,37148,0,1577491,12947386,0.15729106287454447
54,７０,1566807,28507,42874,54,30,11,71476,121650,1324885,6471,1897,32,952,1118,463,37863,0,1495331,11296850,0.13723955890666253
55,７１,1468907,27186,42454,39,43,11,69733,118644,1233312,5959,1932,49,844,1194,525,36715,0,1399174,9730043,0.11820523504010937
56,７２,941447,18227,27544,18,27,9,45825,75795,788326,3688,1256,22,523,779,458,24775,0,895622,8261136,0.10036024738824986
57,７３,768676,15832,22351,15,20,7,38225,62187,641662,2879,974,21,368,687,527,21146,0,730451,7319689,0.08892309711945806
58,７４,912805,20538,26690,7,23,11,47269,76222,755897,3366,1278,13,455,980,807,26518,0,865536,6551013,0.07958485192879537
59,７５,826389,19221,23574,7,27,5,42834,66601,685762,3104,1739,10,453,1026,840,24020,0,783555,5638208,0.06849565843080292
60,７６,764610,18428,21166,4,22,10,39630,61941,631742,3124,1730,13,477,1199,1029,23725,0,724980,4811819,0.05845628800052209
61,７７,725759,17939,20140,2,25,4,38110,58998,596745,3525,1462,21,552,1292,1270,23784,0,687649,4047209,0.04916743853048193
62,７８,584254,14713,15822,2,18,5,30560,46844,480179,3078,1892,14,491,1159,1247,18790,0,553694,3321450,0.04035056966592761
63,７９,472190,12120,15174,1,19,1,27315,36045,385035,2908,1575,18,440,1255,1401,16198,0,444875,2737196,0.0332527714965748
64,８０,425814,11672,15967,1,6,2,27648,31003,343404,3769,1165,15,519,1380,1678,15233,0,398166,2265006,0.027516380615918958
65,８１,397648,13028,16438,0,14,3,29483,25954,318945,4099,1912,11,469,1389,1674,13712,0,368165,1839192,0.022343387654493285
66,８２,329649,12527,14620,1,8,1,27157,19065,263141,4170,1555,12,463,1415,1563,11108,0,302492,1441544,0.017512568787276625
67,８３,297997,13073,13305,3,10,3,26394,15488,236504,4862,1126,8,457,1449,1745,9964,0,271603,1111895,0.013507834427342448
68,８４,199226,9600,8272,0,4,0,17876,9115,159231,3659,1538,6,289,844,1092,5576,0,181350,813898,0.009887623763705354
69,８５,169683,9034,6863,0,4,0,15901,6795,135259,3508,1278,8,295,876,987,4776,0,153782,614672,0.007467330641043837
70,８６,143562,7660,5288,2,3,0,12953,5317,115041,3622,769,7,270,816,895,3872,0,130609,444989,0.005405940069870527
71,８７,91948,4717,3213,0,0,0,7930,2979,74477,2226,755,8,170,576,626,2201,0,84018,301427,0.003661879950832185
72,８８,71998,3581,2300,0,1,0,5882,2015,58655,1859,556,3,172,555,542,1759,0,66116,209479,0.0025448514904782096
73,８９,56245,2696,1775,0,1,0,4472,1518,45779,1586,235,5,142,481,541,1486,0,51773,137481,0.0016701852107487373
74,９０,31961,1372,931,1,1,1,2306,717,26427,842,236,4,85,270,295,779,0,29655,81236,0.0009868939401108839
75,９１,20654,880,543,0,1,0,1424,417,17150,539,151,1,52,190,219,511,0,19230,49275,0.0005986163634221749
76,９２,14013,547,364,0,0,0,911,234,11609,372,112,1,44,171,170,389,0,13102,28621,0.0003477016527144813
77,９３,6063,207,167,0,0,0,374,87,5078,164,68,1,20,58,66,147,0,5689,14608,0.00017746499922620255
78,９４,3907,142,110,0,1,0,253,63,3246,94,34,1,24,37,48,107,0,3654,8545,0.00010380876358077087
79,９５,2566,87,69,0,0,0,156,30,2116,77,14,1,10,43,38,81,0,2410,4638,5.6344651315110035e-05
80,９６,1051,32,31,0,0,0,63,15,845,25,10,1,3,15,23,51,0,988,2072,2.5171651040299267e-05
81,９７,584,20,14,0,0,0,34,6,472,18,7,0,5,13,15,14,0,550,1021,1.2403598316672563e-05
82,９８,308,12,8,0,0,0,20,1,250,9,1,0,3,5,8,11,0,288,437,5.308885861298639e-06
83,９９,129,5,5,0,0,0,10,2,93,5,5,0,0,2,6,6,0,119,129,1.5671539499028017e-06
